Timestamp,ActionType,ActionDetail,TurnPhase,IsMyTurn,PlayerID,PlayerHP,PlayerCP,OpponentHP,OpponentCP,PlayerPosTokens,PlayerNegTokens,OppPosTokens,OppNegTokens,BoardDice,RollsLeft,HandSize,OpponentHandSize,CardsInHand
21-06-2026 14:06:09,PassPriority,None,DefensiveRollPhase,0,2,46,2,50,2,1,1,0,0,1|3|5|0|0,0,4,4,Vibranium Claws II|Yibambe!|Twice as Wild!|Six It!
21-06-2026 14:06:23,PassPriority,None,MainPhase2,1,1,48,2,41,2,0,0,2,1,0|0|0|0|0,0,4,4,Triple Up!|Radioactive Blood!|Venom Punch II|Try; Try Again!
21-06-2026 14:06:25,PassPriority,None,MainPhase2,0,2,41,2,48,2,2,1,0,0,0|0|0|0|0,0,4,4,Vibranium Claws II|Yibambe!|Twice as Wild!|Six It!
21-06-2026 14:06:42,SellCard,Vibranium Claws II,MainPhase1,1,2,41,3,48,2,2,1,0,0,0|0|0|0|0,0,5,4,Vibranium Claws II|Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:06:43,PassPriority,None,MainPhase1,1,2,41,4,48,2,2,1,0,0,0|0|0|0|0,0,4,4,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:06:44,PassPriority,None,MainPhase1,0,1,48,2,41,4,0,0,2,1,0|0|0|0|0,0,4,4,Triple Up!|Radioactive Blood!|Venom Punch II|Try; Try Again!
21-06-2026 14:06:45,InitialPhaseRoll,RollsLeft:3,OffensiveRollPhase,1,2,41,4,48,2,2,1,0,0,0|0|0|0|0,3,4,4,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:06:46,LockDie,DieIndex:1_Value:6,OffensiveRollPhase,1,2,41,4,48,2,2,1,0,0,1|6|2|6|3,2,4,4,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:06:46,LockDie,DieIndex:3_Value:6,OffensiveRollPhase,1,2,41,4,48,2,2,1,0,0,1|6|2|6|3,2,4,4,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:06:47,PhaseReroll,RollsLeft:2,OffensiveRollPhase,1,2,41,4,48,2,2,1,0,0,1|6|2|6|3,2,4,4,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:06:48,LockDie,DieIndex:4_Value:6,OffensiveRollPhase,1,2,41,4,48,2,2,1,0,0,2|6|1|6|6,1,4,4,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:06:48,PhaseReroll,RollsLeft:1,OffensiveRollPhase,1,2,41,4,48,2,2,1,0,0,2|6|1|6|6,1,4,4,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:06:53,ActivateOffense,Wakanda Forever,OffensiveRollPhase,1,2,41,4,48,2,2,1,0,0,6|6|6|6|6,0,4,4,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:08:28,PlayCard,Triple Up!,OffensiveRollPhase,0,1,48,2,41,4,0,0,2,1,6|6|6|6|6,0,4,4,Triple Up!|Radioactive Blood!|Venom Punch II|Try; Try Again!
21-06-2026 14:08:38,PassPriority,None,OffensiveRollPhase,0,1,48,0,41,4,0,0,2,1,6|6|6|6|6,0,6,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Double Up!|Ambush!
